gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
3845,658,197,1740987.5,0,11.5,0,15.5,0,0,198,1438,5972,11636,15696,18028.5,269,197,0,5,6,6,SL
85459,10973,6,1184,0,4.5,0,16,0,0,7,190,3748.5,10635.5,15316.5,17612,4.5,6,0,5,13,13,SL
10238,7268,31,66574,0,13.5,0,15.5,0,0,32,1150,7489.5,12976,16671.5,18360.5,79.5,31,0,10,1,1,SL
6580,23208,1.5,40,0,1.5,0.5,16.5,0,0,2.5,125.5,2873.5,9232.5,13903,16871.5,0,1.5,0,26,0,0,SL
25847,53918,7,773,0,7,0,15,0,0,8,316,4669.5,11457,15929.5,17869,27.5,7,0,4,12,12,SL
613,9542,16,110172.5,0,9,0,15.5,0,0,17,1070.5,5729.5,12043.5,15759,17848.5,29.5,16,1,5,3,3,SL
55294,80824,72,280589,0,15.5,0,15,0,0,73,1682.5,8170,13521.5,16852,18619,161,72,0,5,4,4,SL
369,673,51.5,114973.5,0,20,0,15,0,0,52.5,2104,9604,14838,17354,18673,143,51.5,1,4,3,3,SL
8539,4914,19,28047.5,0,11.5,0,15,0,0,20,736,6835.5,12639.5,16218,18104,25.5,19,0,11,3,4,SL
833,780,2.5,792.5,0,2.5,0.5,15.5,0,0,3.5,418,3720.5,10151,14368,17479,0,2.5,0,3,16,16,SL
1445,154865,13,12004,0,8,0.5,15.5,0,0,14,569,4292,9213.5,14064.5,17169,20,13,0,5,5,6,SL
850515,9140,7,1182799,0,4.5,0,16.5,0,0,8,143.5,1963.5,7462,13692.5,17269,4.5,7,0,8,4,4,NOT
23268,2675,4.5,12163.5,0,3.5,0,17,0,0,5.5,70,1836.5,5286,8162.5,12827,1,4.5,0,26,0,0,NOT
1021,2261,15.5,30946.5,0,10,0,15.5,0,0,16.5,782,7096.5,12988.5,16673,18297,27,15.5,0,4,7,7,SL
4176,595,54.5,525733,0,20.5,0,14,0,0,55.5,2747,9694,14064,17464,19263,181.5,54.5,1,3,18,18,SL
23309,79075,13,8324.5,0,7.5,0,15.5,0,0,14,623,4551.5,10950,14769,17621.5,50.5,13,0,4,4,4,SL
79109,4704,22,22208.5,0,12,0,15.5,0,0,23,1170,6622,11970.5,16142.5,18198,83,22,0,7,2,2,SL
11127,22920,7.5,25322,0,5,0,15.5,0,0,8.5,244,4727.5,11101,15634.5,18066,3,7.5,1,26,0,0,SL
4173,10426,26,35304,0,14,0,14.5,0,0,27,1435,7249,12093,16171.5,18366,96.5,26,0,7,2,2,SL
340419,7157,286,11885974.5,0,16.5,0,15,0.5,0.5,287,3411,7554,12143,15371,18061,1986,286,0,8,4,4,SL
5243,8930,5.5,917.5,0,5.5,0,15,0,0,6.5,371.5,5065.5,11370.5,15946,18166.5,3,5.5,0,9,1,1,SL
27154,29072,10,14303.5,0,8.5,0,15,0,0,11,921.5,6252.5,11991.5,16281.5,18214,10,10,0,3,12,13,SL
55577,7295,11,90997.5,0,7,0,15.5,0,0,12,770,5748,12187,16112,17951.5,4.5,11,0,11,1,1,SL
4893,6103,73,115688.5,0,11.5,0,15,0,0,74,726.5,5645.5,12165.5,16054,18024.5,117,73,0,8,1,1,SL
823749,947572,1.5,5,0,1,0.5,11,0,0,2.5,5,11.5,35,526.5,1788,0,1.5,0,3,2,2,NOT
31012,854657,23.5,32074,0.5,6.5,0.5,9,0,0,24.5,581,1757,3627,7326.5,8588.5,77.5,23.5,0,26,0,0,NOT
34593,18753,1,0,0.5,1,1,11,0,0,2,2.5,4,7,39,151.5,0,1,0,4,10,10,NOT
5594,27158,56.5,1214911.5,0,10.5,0.5,16,0,0,57.5,1322.5,5217.5,8158.5,12188,16853,117.5,56.5,0,6,1,1,SL
7187,8737,57.5,170259.5,0,18,0,15,0,0,58.5,2003.5,9102.5,13880.5,16961.5,18550,159,57.5,1,26,0,0,SL
1948,4893,72,113507.5,0,10.5,0,15.5,0,0,73,1113,6599,12660.5,16143.5,18134.5,116,72,0,9,1,1,SL
23309,23193,22,28071.5,0,14.5,0,15,0,0,23,1701.5,8288.5,13579.5,16941,18519.5,60.5,22,0,3,16,16,SL
9918,6499,5.5,2931,0,4.5,0,15.5,0,0,6.5,853,4798,10550,14841,17630.5,6,5.5,0,26,0,0,SL
647946,398176,1,0,0,1,1,16.5,0,0,2,114,986,4921,9205.5,15056,0,1,0,3,8,9,NOT
79109,55850,8.5,3901,0,7,0,15.5,0,0,9.5,1036,6120,11809,15958,18090,11,8.5,0,6,2,2,SL
25,6640,49.5,311042.5,0,13.5,0,15,0,0,50.5,1473.5,6756,12732.5,16281,18216,157,49.5,0,10,2,2,SL
4140,51564,25.5,36890.5,0,16.5,0,15,0,0,26.5,1251.5,7983.5,12667.5,16594,18499,58,25.5,0,4,11,11,SL
701,4666,26,57160,0,11.5,0,15,0,0,27,823.5,6966.5,12658,16591.5,18426,61,26,0,3,5,5,SL
64746,6301,10,19447.5,0,9,0,15.5,0,0,11,1058.5,5283.5,10992.5,15470.5,17785.5,6.5,10,0,26,0,0,SL
675,6596,32,77341.5,0,14.5,0,15,0,0,33,1122,7715.5,13454,16968,18500,54.5,32,1,7,1,1,SL
2242,2539938,4.5,615433,0,3,0,15.5,0,0,5.5,439,5278,13128.5,16749,18342,1,4.5,0,3,5,5,NOT
8548,4609,246,2728012.5,0,17.5,0,15,0,0,247,3453.5,9268.5,13978,16986.5,18724.5,1362.5,246,0,26,0,0,SL
689,5393,21.5,41979,0,13,0,15,0,0,22.5,851.5,6698.5,12425,16550.5,18336.5,51.5,21.5,0,10,1,1,SL
80335,9070,33.5,72846,0,17,0,14,0,0,34.5,1652,8383,13613,17137,18876,128.5,33.5,1,11,1,1,SL
5243,10813,9,42487,0,7.5,0,15,0,0,10,743.5,5842.5,12513.5,16305.5,18161,13.5,9,0,9,1,1,SL
59269,856689,7.5,783,0,5.5,0,16,0,0,8.5,124,3063.5,7762,13614,17000.5,9.5,7.5,0,4,3,3,NOT
57097,79794,1,0,0,1,1,16,0,0,2,7.5,515,6317,12744,16592.5,0,1,0,15,1,1,SL
3791,8877,11.5,26926,0,7,0,16,0,0,12.5,466,5129.5,11797,15880,17965,8,11.5,0,26,0,0,SL
80005,892,23.5,74591,0,16,0,15.5,0,0,24.5,618.5,5705.5,12227.5,15907,18070,238.5,23.5,0,4,30,31,SL
5742,6717,3,11200.5,0,2,0.5,15.5,0,0,4,140,3473,11292.5,15776.5,17758,0,3,0,26,0,0,SL
1508,5156,42.5,168906.5,0,16,0,15.5,0,0,43.5,1077,8103.5,13399.5,16657,18344.5,41,42.5,0,6,9,10,SL
114880,4645,5.5,1917,0,4.5,0,16,0,0,6.5,212,4586,10907.5,15341,17673.5,2.5,5.5,0,4,11,11,SL
5393,2224,11.5,3996.5,0,8.5,0,15,0,0,12.5,392.5,5681,11646.5,16006,17949,45,11.5,0,7,2,2,SL
7984,16201,3.5,205226,0,3.5,0,16,0,0,4.5,311.5,4821.5,11162,15735.5,17946.5,2,3.5,0,3,11,16,NOT
80012,8819,21.5,2875.5,0,12.5,0,15.5,0,0,22.5,453,4898.5,11311,15905,17997,103.5,21.5,1,12,1,1,SL
6223,27032,42.5,27697,0,20.5,0,15.5,0,0,43.5,1924.5,7690,12702,16396.5,18200,694.5,42.5,0,26,0,0,SL
4893,9730,99,251986.5,0,18,0,15,0,0,100,1637,8920,14600,17224,18621.5,191.5,99,0,12,1,1,SL
3479,7398,11,9762.5,0,6,0,15.5,0,0,12,441,4004.5,9684.5,14291.5,17132,8,11,0,10,1,1,SL
4170,3925,20.5,36870,0,11.5,0,15,0,0,21.5,1013,7646.5,13389,16754.5,18415,20.5,20.5,0,26,0,0,SL
8525,8883,4.5,564.5,0,4,0,15.5,0,0,5.5,453,6373,12811,16358.5,18128,3.5,4.5,0,14,1,1,SL
10487,8715,8,37423,0,6,0,15,0,0,9,314.5,4542.5,10692.5,15137,17912,6,8,0,11,2,2,NOT
91750,2194,12,5416.5,0,11,0,15,0,0,13,858.5,6080.5,12576.5,16599,18335.5,18,12,0,5,3,3,SL
6046,5521,44,57005,0,17.5,0,15,0,0,45,1123,7504,12613,16636,18437.5,143.5,44,0,26,0,0,SL
6133,285180,29.5,6791.5,0,19,0.5,15.5,0,0,30.5,570,4258.5,10074.5,15402.5,17713,535.5,29.5,0,9,3,3,NOT
3148,6654,17,20845,0,11.5,0,15.5,0,0,18,623.5,6555.5,12039.5,16297,18231.5,15.5,17,0,7,2,2,SL
1415,1576,3.5,12143.5,0,2.5,0,16,0,0,4.5,155,3993.5,11085,15773,17967,2.5,3.5,0,3,8,8,SL
8663,6949,18.5,6322.5,0,13,0,15,0,0,19.5,1160.5,7386.5,12276,16402.5,18408,72,18.5,0,26,0,0,SL
3845,51574,245.5,1843239,0,22,0,15,0,0,246.5,2277.5,9371,14441.5,17334,18776.5,541.5,245.5,0,5,6,6,SL
56259,8663,17,5158.5,0,11.5,0,15,0,0,18,955.5,6195,11711.5,16017.5,18143,68.5,17,0,4,2,2,SL
1244,29843,8.5,11496.5,0,6.5,0,15,0,0,9.5,1171.5,6484,12570.5,16264.5,18156.5,4.5,8.5,0,4,5,5,SL
6919,489,2,108,0,2,0.5,15.5,0,0,3,313,2885,9611,13901,17270.5,0,2,0,5,3,3,SL
183129,29988,1.5,2,0,1.5,0.5,9.5,0,0,2.5,34.5,1054,4864,7472.5,8740.5,0,1.5,0,3,24,24,NOT
80789,84991,11.5,24833.5,0,7.5,0,15,0,0,12.5,215,4052,10903,15577,17753.5,14.5,11.5,0,3,11,11,SL
10499,8856,21.5,55618.5,0,15.5,0,14.5,0,0,22.5,1157,7920.5,14477,17351,18779,54,21.5,1,12,4,4,SL
3265,58473,66.5,378491.5,0,10.5,0,15.5,0,0,67.5,930.5,5935.5,12070,15229.5,17776,116.5,66.5,0,4,1,1,SL
9112,8883,32.5,46988.5,0,13,0,15.5,0,0,33.5,1137,7280,13344.5,16639,18404.5,199.5,32.5,0,9,2,2,SL
2241,6240,5.5,212,0,4.5,0,15.5,0,0,6.5,361,5293.5,11541.5,15877.5,18016,4,5.5,0,6,3,3,SL
