gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
3075,10138,16.5,7402.5,0,9,0.5,17,0,0,17.5,618.5,3965.5,6870,8757.5,12045.5,90.5,16.5,0,9,1,1
35380,387849,1.5,0,0,1.5,1,18.5,0,0,2.5,7,115,1999,5462.5,8070.5,0.5,1.5,0,4,3,3
855303,497661,1.5,0,0,1.5,0.5,17,0,0,2.5,26.5,832,4851.5,11337.5,15806,0.5,1.5,0,3,2,2
83541,4191,15,40935,0,8,0.5,16,0,0,16,934,4296.5,9595.5,14230,17317.5,33,15,0,26,0,0
854544,19821,25,268691.5,0,8.5,0,16,0,0,26,190.5,1722,7664.5,14372,17311,69,25,0,6,2,2
843330,176840,1.5,0,0.5,1.5,0.5,10.5,0,0,2.5,26,89.5,250.5,512.5,684,0.5,1.5,0,10,2,2
179361,20964,1.5,104,0.5,1.5,0.5,9.5,0,0,2.5,8.5,33,238,1620.5,5599.5,0,1.5,0,26,0,0
831449,55252,4.5,11864.5,0,4,0.5,18.5,0,0,5.5,84,2076,5234,7609.5,9098.5,4.5,4.5,0,7,5,6
3783750,110147,7.5,68752.5,0,5.5,0,16.5,0,0,8.5,121.5,2288.5,7926,13602,16970,6,7.5,0,5,1,1
855080,20877,1.5,768,0,1.5,0.5,17,0,0,2.5,12,378.5,4281,9828,15642.5,0,1.5,0,6,2,2
851931,172992,2,0,0,2,0.5,8.5,0,0,3,9.5,21,249,2478.5,5938.5,1.5,2,0,2,17,17
12427,10902,13.5,18034,0,8.5,0.5,16,0,0,14.5,711.5,4222,8128.5,12932,16215.5,80,13.5,0,4,9,9
854745,850758,4,26945.5,0,3.5,0,17,0,0,5,347,2160,6010,10955,15904.5,2,4,0,5,4,4
179769,856455,10,1763,0,7.5,0.5,19,0,0,11,260.5,1481.5,2509,5971.5,8373,65.5,10,0,5,2,2
5481,11237,8.5,14807,0,6.5,0.5,16,0,0,9.5,431.5,4042,7930.5,13255,16826,7.5,8.5,0,26,0,0
286,191500,4,15197.5,0,2.5,0.5,18.5,0,0,5,36,1027,5589.5,7942,8881.5,0.5,4,0,3,5,5
83633,185332,1.5,11831.5,0,1,0.5,10,0,0,2.5,30,67,115,807,5239.5,0,1.5,0,10,1,1
26469,117045,4,749,0,3.5,0,16,0,0,5,236,3842,10236.5,14798.5,17654.5,0.5,4,0,3,23,23
852294,179003,66,357761.5,0.5,8,0.5,8.5,0,0,67,1157.5,2114,4891,7834.5,8970,379.5,66,0,8,4,4
855972,827028,17,28760,0,10,0,19,0,0,18,668,1760.5,3205.5,7174,9032,88.5,17,0,26,0,0
855596,22589,7.5,84285.5,0,3.5,0,17,0,0,8.5,597,1804.5,4112.5,12009,16338.5,5,7.5,0,5,5,6
852746,56902,5.5,3751,0,4.5,0,16,0,0,6.5,453.5,4590.5,8712,14797,17378,3,5.5,0,10,2,2
440193,843975,2.5,614.5,0,2.5,0.5,19,0,0,3.5,40.5,1359.5,4812,7398,9120.5,0,2.5,0,3,11,11
1441,25865,5.5,2535,0,4.5,0,16,0,0,6.5,485,4660.5,10836.5,15070,17766,1,5.5,0,3,30,32
21888,177397,1.5,11831.5,0,1,0.5,20,0,0,2.5,4.5,20,53.5,195.5,556.5,0,1.5,0,6,2,2
56289,176179,4,2479,0,3,0.5,18.5,0,0,5,77,2007.5,5471.5,7807,8972.5,3,4,0,26,0,0
