gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
5962,7430,44,310500.5,0,11.5,0,15.5,0,0,45,1769.5,8082,12307,16372,18376,26,44,0,8,1,1,SL
5893,5426,9.5,6987,0,7.5,0,15.5,0,0,10.5,505,5926.5,12495,16437.5,18091,9.5,9.5,0,26,0,0,SL
675,673,44.5,105851,0,19,0,15,0,0,45.5,1750,9144,14777.5,17344,18700,117,44.5,1,3,11,11,SL
3996,178541,8,6249.5,0,7,0.5,16.5,0,0,9,661.5,3859,6310,8582,11670.5,9,8,0,11,2,2,NOT
7443,10095,13.5,7334,0,12,0,15.5,0,0,14.5,1335,7707,13296.5,16654.5,18393.5,27.5,13.5,0,26,0,0,SL
55917,3845,203,1741605,0,16.5,0,15.5,0,0,204,1549.5,7538.5,13168,16597,18431,313.5,203,0,6,2,2,SL
192286,4893,70.5,112134.5,0,9.5,0.5,15.5,0,0,71.5,733.5,5289.5,11732.5,15592,17858.5,115.5,70.5,0,11,1,1,SL
8883,6827,4.5,481.5,0,4,0,16,0,0,5.5,171.5,3697,10416.5,14562.5,17551,3.5,4.5,0,26,0,0,SL
10988,11130,9,14837.5,0,5,0.5,16,0,0,10,142.5,3278,9998.5,15064,17590,27.5,9,0,4,5,5,SL
92345,43284,5,2943.5,0,3.5,0,17.5,0,0,6,61.5,1677,4984.5,7617.5,9438,2.5,5,0,5,6,6,NOT
5582,55697,14,124109.5,0,4.5,0,15.5,0,0,15,273.5,4893.5,12054.5,16080,18019.5,1,14,0,5,9,10,SL
819,80789,13.5,48921,0,8,0,15.5,0,0,14.5,1097,5891,11581,15868,17970.5,16.5,13.5,0,3,15,16,SL
171483,3265,67,379502,0,10,0,15.5,0,0,68,929,5819.5,12022,16157,18086,116.5,67,0,4,3,3,SL
949024,401152,1,0,0.5,1,1,9,0,0,2,3.5,695.5,3167,5824.5,7874,0,1,0,4,5,5,NOT
