V4,V2
905,CCNT2
905,B4DH21
908,TCPZ
908,A0A024RDL1
914,Q53F96
914,CD2
915,B0YIY4
915,CD3D
916,CD3E
919,CD3Z
920,CD4
920,B4DT49
920,A0A4Y5UGE4
920,B0AZV7
923,Q8N4Q7
923,CD6
923,Q6AZ88
924,CD7
924,J3QLC7
924,Q29VG3
925,CD8A
925,Q6ZVS2
925,Q8TAW8
928,A6NNI4
928,CD9
928,B4DK09
929,CD14
930,CD19
932,MS4A3
933,Q0EAF5
933,CD22
939,CD27
940,B4E0L1
940,CD28
941,A0N0P2
941,CD80
942,A0A0X9R4E0
942,A8K632
942,CD86
943,TNR8
943,A5D8T4
945,CD33
945,Q546G0
947,CD34
952,B4E006
952,CD38
953,ENTP1
958,Q6P2H9
958,A0A0S2Z349
958,A0A0S2Z3C7
958,TNR5
959,CD40L
960,CD44
961,A0A0A1TSG4
961,CD47
965,LFA3
966,CD59
966,Q6FHM9
967,CD63
967,A0A024RB05
968,CD68
971,Q5TLG3
971,CD72
972,HG2A
973,CD79A
974,CD79B
975,E9PJK1
975,A0A024RCB7
975,CD81
977,Q6ZNZ0
977,CD151
977,A0A024RCB3
983,A0A024QZJ8
983,CDK1
983,I6L9I5
983,B7Z3D6
984,CD11B
984,B4DII1
988,CDC5L
989,SEPT7
989,A8K3D0
989,A0A023T695
989,G3V1Q4
989,B4DNE4
990,CDC6
990,A0A024R1S2
991,CDC20
993,MPIP1
993,D8KXX0
993,A0A024R2R6
993,K7N7S0
994,G8JLH2
994,B4DIG0
994,E1YMX4
994,Q6MZW8
994,B4DRC3
994,B4DQZ3
994,MPIP2
994,B3KS38
995,MPIP3
995,B4DX61
996,CDC27
996,G5EA36
996,B4DL80
997,A0A024R1Z1
997,UB2R1
998,A0A024RAA5
998,A0A024RAE6
998,CDC42
999,A0A0U2ZQU7
999,CADH1
999,Q9UII7
999,B3GN61
1000,A0A024RC42
1000,C9J126
1000,CADH2
1003,CADH5
1003,Q59EA3
1009,H3BUU9
1009,CAD11
1013,CAD15
1017,A0A024RB77
1017,A0A024RB10
1017,E7ESI2
1017,CDK2
1017,G3V5T9
1017,B4DDL9
1018,CDK3
1019,CDK4
1019,A0A024RBB6
1020,CDK5
1020,A0A0S2Z355
1020,A0A090N7W4
1021,CDK6
1022,D6RFL0
1022,A0A0S2Z3F9
1022,CDK7
1022,D6R9G1
1024,CDK8
1025,A0A024R880
1025,CDK9
1026,CDN1A
1026,A0A024RCX5
1027,Q6I9V6
1027,CDN1B
1028,CDN1C
1029,K7PML8
1029,ARF
1029,CDN2A
1030,K7PPU3
1030,CDN2B
1031,Q6ICV4
1031,CDN2C
1032,A0A024R796
1032,CDN2D
1033,CDKN3
1033,G3V2J7
1039,CDR2
1041,CDSN
1041,G8JLG2
1044,CDX1
1045,CDX2
1046,CDX4
1048,CEAM5
1048,Q53G30
1048,A0A024R0K5
1050,CEBPA
1051,CEBPB
1052,CEBPD
1053,CEBPE
1054,CEBPG
1058,CENPA
1062,CENPE
1063,CENPF
1068,CETN1
1068,A0A140VJG3
1069,CETN2
1070,E5RFM2
1070,CETN3
1070,E5RJF8
1072,COF1
1072,V9HWI5
1073,Q549N0
1073,COF2
1080,A0A024R730
1080,CFTR
1088,B4DLI3
1088,Q0Z7S6
1088,CEAM8
1102,B4E372
1102,B4DWG0
1102,RCBT2
1102,Q59FB7
1104,Q5T081
1104,RCC1
1104,A0A0S2Z3I4
1104,A0A0S2Z404
1105,B3KT33
1105,CHD1
1107,B3KWV4
1107,Q2TAZ1
1107,CHD3
1108,F5GWX5
1108,CHD4
1111,E7EPP6
1111,CHK1
1111,B4DT73
1112,FOXN3
1112,A0A024R6I1
1114,SCG1
1121,A8K545
1121,B4DRL9
1121,RAE1
1122,RAE2
1123,CHIN
1124,B7Z1V0
1124,CHIO
1124,B7Z232
1124,A0A2X0TVW3
1124,B3VCF5
1124,B3VCF6
1124,B7Z215
1124,B3VCF4
1124,B3VCF9
1124,B7Z1W9
1130,LYST
1131,ACM3
1131,A0A024R3W1
1134,ACHA
1134,Q53SH4
1136,ACHA3
1144,B4E3W4
1144,ACHD
1146,A0A6F7YAP6
1146,ACHG
1147,IKKA
1149,Q8N5P9
1149,B3KVA2
1149,CIDEA
1152,KCRB
1152,V9HWH2
1152,G3V4N7
1153,Q53XX5
1153,D6W5Y5
1153,CIRBP
1153,K7EQR7
1153,K7EPM4
1154,CISH
1155,TBCB
1158,B2R892
1158,KCRM
1159,KCRU
1161,B3KPW7
1161,ERCC8
1161,A0A0S2Z3L1
1161,B4DGZ9
1163,CKS1
1163,Q5T178
1164,CKS2
1173,B4DNB9
1173,E9PFW3
1173,AP2M1
1174,AP1S1
1174,A0A024QYT6
1175,M0QYZ2
1175,AP2S1
1175,M0R0N4
1175,X6R390
1176,F5H459
1176,AP3S1
1180,CLCN1
1182,B3KXK0
1182,CLCN3
1186,CLCN7
1191,CLUS
1192,CLIC1
1192,Q5SRT3
1192,Q53FB0
1193,CLIC2
1195,CLK1
1196,B7Z8N6
1196,CLK2
1196,A8K7I0
1198,CLK3
1198,B3KRI8
1200,TPP1
1201,CLN3
1201,B4DMY6
1201,Q2TA70
1201,B4DFF3
1201,A0A024QZB8
1207,E9PMI6
1207,ICLN
1207,E9PJF4
1207,J3KN38
1209,CLPT1
1209,A0A0S2Z3H2
1211,CLCA
1211,C9J8P9
1212,A0A024R7S3
1212,CLCB
1213,CLH1
1213,A0A087WVQ6
1230,CCR1
1230,Q5U003
1232,Q8TDP4
1232,A1LPE5
1232,CCR3
1232,Q8TDP5
1234,Q38L21
1234,CCR5
1241,LT4R1
1244,MRP2
1263,PLK3
1264,CNN1
1264,B7Z7E1
1264,Q53FP8
1264,V9HWA5
1267,A0A024R1T5
1267,CN37
1268,CNR1
1268,V5KA96
1268,S5TLS4
1270,CNTF
1271,CNTFR
1272,A0A024R104
1272,CNTN1
1277,CO1A1
1278,A0A0S2Z3H5
1278,CO1A2
1280,CO2A1
1281,CO3A1
1282,A5PKV2
1282,CO4A1
1284,A0A024RDW8
1284,CO4A2
1289,A0A024R8E5
1289,B2ZZ86
1289,Q59EE7
1289,CO5A1
1291,A0A384P5H7
1291,CO6A1
1294,CO7A1
1294,Q59F16
1295,CO8A1
1297,CO9A1
1308,COHA1
1312,COMT
1312,A0A140VJG8
1314,COPA
1315,COPB
1316,KLF6
1316,D3GC14
1318,COPT2
1318,Q53X94
1326,M3K8
1326,Q6FG25
1329,A0A384NL93
1329,COX5B
1345,A0A024R9B7
1345,COX6C
1351,Q53XN1
1351,COX8A
1363,A0A384N679
1363,CBPE
1382,RABP2
1384,CACP
1385,Q53X93
1385,CREB1
1385,Q5U0J5
1385,B7Z5C6
1386,A4D7V5
1386,ATF2
1387,CBP
1389,CRBL2
1390,CREM
1392,CRF
1392,A0A0S2Z478
1394,B3TIK8
1394,K9J956
1394,G3CIS4
1394,B3SXS2
1398,A0A0S2Z3K9
1398,A0A0S2Z3Q4
1398,CRK
1398,L7RT18
1399,CRKL
1400,B3KV96
1400,Q96I11
1400,B3KT07
1400,X5DNI1
1400,DPYL1
1400,E9PD68
1406,CRX
1407,A2I2P0
1407,CRY1
1408,A2I2P1
1408,CRY2
1408,A0A0D2X7Z3
1410,V9HW27
1410,CRYAB
1410,A0A024R3B9
1411,CRBA1
1412,A0A024R429
1412,CRBA2
1415,CRBB2
1415,R4UMM2
1420,A0A0X8GLL6
1420,CRGC
1421,A0A140CTX7
1421,CRGD
1431,A0A024RB75
1431,CISY
1432,L7RSM2
1432,MK14
1432,A0A024RD15
1432,B4E0K5
1434,A0A384NKW7
1434,XPO2
1436,CSF1R
1438,CSF2R
1439,Q6NSJ8
1439,IL3RB
1441,CSF3R
1442,A8K6C2
1442,CSH1
1442,CSH2
1445,CSK
1445,B2R6Q4
1445,A8K3B6
1446,CASA1
1447,W5RWE1
1447,CASB
1448,CASK
1452,KC1A
1452,B4DER9
1452,Q6PJ06
1453,KC1D
1455,KC1G2
1457,CSK21
1459,CSK22
1459,H3BNI9
1460,N0E4C7
1460,CSK2B
1460,A0A1U9X7J2
1462,Q59FG9
1462,A0A024RAQ9
1462,Q86W61
1462,A0A024RAL1
1462,Q6MZK8
1462,CSPG2
1462,A0A024RAP3
1464,CSPG4
1468,B4E1E9
1468,A0A0S2Z382
1468,F6RGN5
1468,A0A0S2Z3G3
1468,DIC
1471,A0A0K0K1J1
1471,CYTC
1475,CYTA
1476,CYTB
1476,Q76LA1
1477,CSTF1
1478,B3V096
1478,CSTF2
1478,E7EWR4
1478,B4DUD5
1479,CSTF3
1482,A0A0S2Z3K2
1482,NKX25
1482,A0A0S2Z383
1482,E5RH49
1485,CTG1B
1487,X5D8Y5
1487,CTBP1
1488,CTBP2
1490,Q5M8T4
1490,CCN2
1493,CTLA4
1495,A0A384MDY0
1495,B4DU00
1495,G3XAM7
1495,B4DKT9
1495,CTNA1
1499,B4DGU4
1499,CTNB1
1499,A0A024R2Q3
1500,CTND1
1501,CTND2
1501,B4DRK2
1501,B4DJU1
1501,E7EPC8
1503,B4E1E0
1503,PYRG1
1508,A0A024R374
1508,B4DMY4
1508,CATB
1508,Q5HYG5
1509,V9HWI3
1509,CATD
1512,E9PKT6
1512,CATH
1514,Q9HBQ7
1514,CATL1
1514,A0A024R276
1520,CATS
1523,Q3LIA3
1523,CASP
1523,CUX1
1527,TEX28
1535,H3BNP7
1535,B4DT46
1535,CY24A
1540,A0A024R6T1
1540,CYLD
1544,CP1A2
1557,CP2CJ
1559,CP2C9
1559,S5RV20
1571,CP2E1
1576,CP3A4
1576,Q6GRK0
1579,CP4AB
1583,CP11A
1583,A0A0S2Z3R3
1588,A0A024R5S8
1588,Q8IYG4
1588,CP19A
1588,Q8TCA4
1588,Q05CU4
1588,A8K6W3
1600,DAB1
1601,DAB2
1601,B2RAW0
1601,A0A024R036
1602,DACH1
1603,Q53G02
1603,DAD1
1605,DAG1
1605,A0A024R2W4
1609,A0A140VKC1
1609,Q59FF7
1609,DGKQ
1610,A0A024RBI1
1610,OXDA
1612,Q59H88
1612,B4DHI4
1612,DAPK1
1613,DAPK3
1613,B3KNJ3
1615,A0A140VJW5
1615,SYDC
1616,B4E1C1
1616,DAXX
1616,A0A024RCS3
1616,Q53F85
1617,DAZ1
1617,A0A140VJH5
1618,DAZL
1618,A0A140VK77
1620,BRNP1
1627,DREB
1628,DBP
1630,DCC
1630,Q49AK4
1634,PGS2
