gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
4345634,853429,1,0,0.5,1,1,10,0,0,2,5,23,379.5,1532.5,2930,0,1,0,7,1,1
855859,10813,13,59944,0,10,0,16,0,0,14,819,5426,10656,15843,17989,18,13,0,5,3,3
545486,177655,1,0,0,1,1,10.5,0,0,2,6,14.5,44.5,136,417.5,0,1,0,8,2,2
3932,852439,38,64137,0,17,0,16,0,0,39,819.5,5650,9610.5,14782.5,17610,142,38,0,9,1,1
100506742,173986,1,0,0,1,1,19,0,0,2,6.5,126.5,2339.5,5620.5,8068,0,1,0,11,1,1
826726,5897,1.5,16,0,1.5,0.5,18.5,0,0,2.5,51,1545,5132,7674,9185,0,1.5,0,9,1,1
5704,34734,27.5,18087,0,15.5,0,8.5,0,0,28.5,722.5,4423.5,7000.5,8607,9343,352,27.5,0,7,2,2
854345,109305,10.5,3884.5,0,7.5,0.5,17.5,0,0,11.5,100.5,1290,2450,6159.5,11313,70.5,10.5,0,4,6,6
5519,838782,14,7970,0,7.5,0,18,0,0,15,313.5,3335,6078,8324,9361.5,30.5,14,0,26,0,0
8626381,399455,1,0,0,1,1,9.5,0,0,2,10.5,106,1810,5710.5,7921.5,0,1,0,9,5,6
43700,173384,3.5,35417.5,0,2,0,19,0,0,4.5,20,69.5,265.5,1466.5,3000.5,1.5,3.5,0,5,10,10
12236,379753,6,131338.5,0,4.5,0.5,16,0,0,7,186,2288.5,5782,9764.5,15482,7.5,6,0,5,1,1
25920,824626,6.5,22422.5,0,4,0,8.5,0,0,7.5,500,3526.5,6640,8507.5,9303,4.5,6.5,0,6,2,2
81822,26962,2,11881,0,1.5,0.5,18.5,0,0,3,22,37,116.5,731,5835,0,2,0,4,5,5
850686,67826,4,7259,0,2.5,0.5,17.5,0,0,5,73,1292,5422.5,11183,16087.5,3,4,0,6,4,4
9631,225870,14.5,29233,0,9,0,16,0,0,15.5,1285,4879,8280.5,13140,17080.5,34.5,14.5,0,5,5,5
2675,9228,3,204.5,0,3,0,17,0,0,4,43.5,766,4408.5,7637.5,12681,0.5,3,0,8,2,4
9015,3957,4.5,1712.5,0,4,0,15.5,0,0,5.5,183,2859,10164.5,15495,17628.5,5,4.5,0,5,7,7
40828,14702,1.5,0,0,1.5,0.5,18.5,0,0,2.5,10.5,54.5,264,2000.5,6369.5,0.5,1.5,0,4,3,3
84823,180644,5.5,2411,0.5,5,0.5,8,0,0,6.5,762.5,3896,6090.5,8182,9137,3.5,5.5,0,10,1,1
9051,230872,5,13760.5,0,3.5,0,17.5,0,0,6,135.5,2635,5696,8038.5,9118,0,5,0,6,7,7
5962,79269,8,4792.5,0,6,0,15.5,0,0,9,755,5619.5,11458,15893,17988,6.5,8,0,8,1,1
1785,326273,13,19986,0,6.5,0,17.5,0,0,14,843.5,4056,6429,8668,10262.5,16,13,0,6,1,1
855005,58477,13,15640.5,0,11,0,16.5,0,0,14,1237,5292.5,9297.5,15049,17597,19.5,13,0,6,2,2
856305,3687,9.5,23124.5,0,6,0.5,17,0,0,10.5,649.5,1797.5,4985.5,11978.5,15914.5,28,9.5,0,3,13,13
80764,78973,2.5,210.5,0,2.5,0.5,15.5,0,0,3.5,83.5,1862,8096,13789.5,17133.5,0,2.5,0,4,2,2
330627,854023,7.5,36.5,0,7.5,0,17,0,0,8.5,49.5,1266.5,5389.5,13133,16735.5,32.5,7.5,0,8,2,2
852678,23513,10.5,19149.5,0,8.5,0,16,0,0,11.5,520.5,4562,7982,12106.5,16759,4.5,10.5,0,6,3,3
8553,11190,9,18644.5,0,8,0,15.5,0,0,10,484,5341.5,11762.5,15928.5,18049.5,3.5,9,0,3,3,4
25953,12443,3,17747,0,2.5,0.5,15.5,0,0,4,30.5,643,6105,12587,16738.5,1,3,0,4,2,2
4093,177655,3,1037.5,0,3,0.5,16.5,0,0,4,125,2573,5710.5,8221,9534.5,1,3,0,13,2,2
12346,946552,1,0,0.5,1,1,9.5,0,0,2,5,7,43.5,1288.5,5132,0,1,0,4,2,2
54942,1645,1.5,13187,0.5,1.5,0.5,8.5,0,0,2.5,114.5,1686,5228.5,7540.5,8743.5,0,1.5,0,5,11,11
3647831,827837,1.5,0.5,0.5,1,0.5,1,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,1.5,0,8,1,1
837393,38412,3.5,40104.5,0,2,0,20,0,0,4.5,21,103.5,378,984,1793.5,1,3.5,0,4,2,2
548593,852818,2,1.5,0,2,0.5,16.5,0,0,3,49.5,690,5417.5,11960.5,16356.5,1,2,0,4,2,2
851862,67451,1,0,0.5,1,1,9,0,0,2,5,80,1599.5,5148,7614.5,0,1,0,6,1,1
34969,37402,5,64485,0,2.5,0,19.5,0,0,6,28,120,423,1360.5,5178,3.5,5,0,3,4,4
855479,2542066,2,1544,0.5,2,0.5,9,0,0,3,276,1307.5,2735,6599.5,8379,0.5,2,0,5,5,6
842620,21357,1,0,0.5,1,1,9,0,0,2,2.5,4.5,114,2140.5,5807,0,1,0,5,7,7
180645,855208,5.5,46254,0,5,0,18,0,0,6.5,104.5,1307,2606,6492,8605.5,4.5,5.5,0,4,1,1
854999,7552,22,13755.5,0,8,0,16.5,0,0,23,763.5,2886,7923,14594,17345.5,73,22,0,11,4,4
2983,839868,2.5,674,0.5,2,0.5,8.5,0,0,3.5,413,3165,6638,8288.5,9085.5,0.5,2.5,0,26,0,0
175010,997,11.5,10702.5,0,9,0.5,16.5,0,0,12.5,731.5,4394.5,6996.5,8606.5,9644,17,11.5,0,8,4,8
827154,42267,1,0,0.5,1,1,1.5,0,0,2,2.5,2.5,2.5,2.5,2.5,0,1,0,3,12,13
92359,854193,3,5266.5,0,3,0,16,0,0,4,589,2291.5,7743,13383.5,16743.5,0.5,3,0,9,1,1
855272,838957,1.5,23.5,0.5,1.5,0.5,9,0,0,2.5,19.5,170,1548.5,4207.5,7717.5,0,1.5,0,4,4,4
852256,175764,4,17067.5,0,3,0,18,0,0,5,96.5,1256.5,2815.5,6728,8510,5,4,0,9,1,1
2067,100036991,7.5,9732,0,5,0.5,16.5,0,0,8.5,342.5,3351.5,6216,9934.5,15586.5,6.5,7.5,0,8,5,6
856837,856195,9.5,16317.5,0,6,0,16,0,0,10.5,237,2727,9564.5,15462.5,17610,7,9.5,0,3,7,7
17928,166785,1.5,1241.5,0,1.5,0.5,17,0,0,2.5,21,833,5149.5,11424,14934,0,1.5,0,4,7,7
8078,827323,11,217238,0,7.5,0,17,0,0,12,411,4386.5,7895,9169.5,10599,5,11,0,3,8,8
253980,79698,6.5,3046.5,0,6,0.5,15.5,0,0,7.5,329,3803,9324,14312.5,17302,7,6.5,0,4,6,6
853468,820438,2,2045,0,1.5,0.5,19,0,0,3,12,53,1209.5,2435.5,5298.5,0,2,0,3,3,3
842674,5803,3.5,506.5,0,3.5,0.5,18,0,0,4.5,76.5,1524,5596.5,8293.5,9709,0,3.5,0,9,1,1
18103,177807,1.5,1.5,0,1.5,0.5,17.5,0,0,2.5,9,324.5,2882.5,6046,8420,0,1.5,0,4,2,2
7004,851618,7.5,31066.5,0,5.5,0,16,0,0,8.5,763,4158.5,8861.5,14836.5,17540.5,2,7.5,0,6,2,2
64013,173728,3,101040.5,0,1.5,0.5,19,0,0,4,18.5,39.5,111,422.5,3207,0,3,0,8,1,1
7391,84958,11,15789,0,8,0,15,0,0,12,331.5,4814.5,11466,15997.5,18030.5,8.5,11,0,7,2,2
42464,399276,1,0,0,1,1,18,0,0,2,87.5,106.5,247.5,2025,8016.5,0,1,0,6,1,1
9015,843194,4,1300,0,3.5,0.5,18.5,0,0,5,171,1987.5,5682,8148,9056,5,4,0,5,1,1
855819,100337511,11,32666.5,0,4.5,0.5,16.5,0,0,12,292.5,1707.5,4388,9437,15285.5,11.5,11,0,9,2,2
1991,179538,1.5,27,0,1.5,0.5,16.5,0,0,2.5,13.5,48,649,5832.5,12705.5,0,1.5,0,6,5,5
238,55810,6.5,15130,0,5,0,15.5,0,0,7.5,348,3438.5,8807.5,14016,17192.5,2,6.5,0,4,20,20
34263,9887,10.5,137570,0,6.5,0,17,0,0,11.5,528,4112,7502,9171,10320,5,10.5,0,3,9,9
135,1959,3.5,12281.5,0,3,0,15.5,0,0,4.5,168.5,2632,9939,14313.5,17334.5,0,3.5,0,4,1,1
51247,398349,4,23791,0,3,0.5,16.5,0,0,5,233.5,2449,5733.5,9637.5,15383,2,4,0,4,1,1
853945,8399,1.5,11831.5,0,1,0.5,16.5,0,0,2.5,568.5,1818,5973.5,12645.5,16394.5,0,1.5,0,11,1,1
173168,5108,74.5,375066,0,8,0,17.5,0,0,75.5,827,4295.5,6429.5,8435,9539,193,74.5,0,26,0,0
42553,177889,2,14578,0,1.5,0.5,21.5,0,0,3,5,13.5,45.5,195.5,521,0,2,0,26,0,0
176344,850703,2,0.5,0,1.5,0,10,0,0,3,4,28,739.5,1753.5,3252,0.5,2,0,9,1,1
12151,41162,7,129030,0,3.5,0,18.5,0,0,8,87,1571,5476.5,8259.5,9667,7,7,0,4,17,17
42435,9133,6,22206.5,0,4.5,0.5,17.5,0,0,7,706,3830,6246,8383.5,9548,7.5,6,0,10,2,2
7916,856208,19.5,9428,0,14,0,16,0,0,20.5,809.5,5376,9553,15174.5,17819.5,42,19.5,0,5,4,6
41668,854227,22.5,97632.5,0,7,0,18.5,0,0,23.5,365.5,1712.5,4242,7773.5,9323,56,22.5,0,8,1,1
