gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
3815,9231,18.5,55824,0,11.5,0,15,0,0,19.5,1087.5,7390,12195,16256,18406.5,32,18.5,0,4,3,3
3815,10298,24,131810,0,13,0,15,0,0,25,1084,7795.5,13290,16612.5,18383.5,35.5,24,0,3,3,3
3910,26995,14.5,6191,0,7.5,0.5,15,0,0,15.5,488,5984.5,12612.5,16267,18049,41.5,14.5,0,4,3,3
3912,22983,5,9857,0,4.5,0,16,0,0,6,331.5,4940.5,11320.5,15721,17982,2,5,0,3,8,8
3932,58529,22,64130.5,0,10,0,15.5,0,0,23,702,5198.5,11863.5,15792.5,18037,21,22,0,2,74,79
84823,11342,7,6625,0,6.5,0,15,0,0,8,858,5596,12212.5,16407.5,18142.5,3.5,7,0,2,34,34
22983,9231,5.5,4042.5,0,5,0,15.5,0,0,6.5,895,6704,11999,16171,18362.5,2.5,5.5,0,4,3,3
22983,115548,6,1569.5,0,6,0,16,0,0,7,659.5,5732.5,11628,15826,18032.5,5.5,6,0,4,3,3
4170,90326,16.5,30587,0,9,0,15.5,0,0,17.5,837,5622.5,11985,15886.5,18013.5,18.5,16.5,0,3,18,18
4193,4134,128,1395973,0,16,0,14.5,0,0,129,2853,9586.5,14854.5,17571,19042,641,128,0,3,24,24
9833,359,2,1936.5,0,2,0,16,0,0,3,152,3930,10631,15479.5,17894.5,0,2,0,4,8,8
2872,6795,3.5,882,0,3.5,0,15.5,0,0,4.5,316,4978,12303,16273.5,18193,1.5,3.5,0,3,1,1
2475,3717,49.5,228076,0,18,0,15,0,0,50.5,1581.5,8906,14294,17217.5,18739.5,100.5,49.5,0,2,10,10
2475,7297,36,179234,0,13.5,0,15,0,0,37,1251,7867.5,13236,16770,18536.5,51.5,36,0,2,52,52
2475,80351,37.5,181506,0,13,0,15.5,0,0,38.5,1176.5,7579.5,13039.5,16614,18385,50.5,37.5,0,3,8,8
26509,22983,4,586.5,0,4,0,15.5,0,0,5,850,6536.5,12599,16319.5,18194,2,4,0,3,27,27
112939,84952,5,14416.5,0,3.5,0.5,15.5,0,0,6,257.5,3707.5,11662,15860,17756,2.5,5,0,2,10,10
121441,29117,36.5,57164,0,17,0,15.5,0,0,37.5,1201.5,8113.5,13376,16754,18457,130.5,36.5,0,3,4,4
121441,3815,32.5,70441.5,0,15.5,0,15.5,0,0,33.5,857.5,7224,12109,16145,18212.5,88,32.5,0,3,4,4
79840,23300,1.5,12.5,0,1.5,0.5,16,0,0,2.5,46,1895,8284,13461,16841,0,1.5,0,2,22,22
10062,5817,7.5,1494.5,0,6,0,15.5,0,0,8.5,238,3274.5,10322,15267.5,17769.5,3,7.5,0,4,3,3
9971,8996,6,795.5,0,5.5,0,15.5,0,0,7,292.5,4587.5,11250.5,15831.5,17936,4,6,0,3,25,27
8856,3718,13,16023.5,0,10.5,0,15,0,0,14,562,5924.5,12663,16424.5,18182.5,16,13,0,2,36,36
8650,3925,19,130023,0,11.5,0,15,0,0,20,1306,8013.5,13518,16773,18477.5,19.5,19,0,3,3,3
79023,6304,18,21873,0,12.5,0,15,0,0,19,664,4833,11015.5,15900.5,18081,38.5,18,0,4,8,8
28962,51078,2,298.5,0.5,2,0.5,9,0,0,3,19.5,982,3949,6121.5,8171,0,2,0,3,3,3
5031,84665,2,9,0,2,0,16,0,0,3,48.5,1635.5,6734.5,12959.5,16614,0,2,0,3,7,7
5058,1786,44,162910,0,17.5,0,15,0,0,45,1997.5,9333.5,14969.5,17513.5,18964.5,169.5,44,0,3,3,3
10298,3717,27.5,131563.5,0,14,0,15,0,0,28.5,1294,8482,14272,17069,18607,56.5,27.5,0,3,10,10
142,3717,87,344079,0,19.5,0,14.5,0,0,88,2270.5,9510.5,14778,17423,19002.5,356,87,0,2,10,10
283871,1786,28.5,87376,0,11.5,0,15.5,0,0,29.5,1261,6093,12566.5,16394.5,18384.5,149,28.5,0,4,3,3
5347,6795,61.5,841196.5,0,11.5,0,15.5,0,0,62.5,1712.5,7790,14130,17137,18739.5,115,61.5,0,4,1,1
5347,23373,61,840961,0,11,0,15,0,0,62,1574,6314,12550.5,16503.5,18531.5,114,61,0,2,18,18
1263,6790,39.5,196008,0,13,0,15,0,0,40.5,1552,8657.5,14671.5,17358.5,18682.5,64,39.5,0,3,19,19
1263,2322,6,1741,0,6,0,15.5,0,0,7,495,5599,12695.5,16457.5,18085.5,3,6,0,3,19,19
1263,3717,21,52956,0,12,0,15,0,0,22,931,7910.5,14135.5,17085.5,18541,52.5,21,0,3,10,10
1263,3815,17.5,53202.5,0,11,0,15,0,0,18.5,721,7224,13153.5,16629,18317.5,31.5,17.5,0,2,19,19
1263,1786,30.5,88657,0,13.5,0,15,0,0,31.5,1568.5,8537,14701,17382,18790.5,150.5,30.5,0,3,3,3
1263,302,13,30191.5,0,10.5,0,15,0,0,14,1686.5,8517,14510,17255,18573.5,15.5,13,0,3,19,19
1263,25776,6,33288,0,4.5,0,15,0,0,7,505.5,6231,12793.5,16512.5,18431.5,1.5,6,0,3,19,19
1263,10755,15.5,60175.5,0,7.5,0,15.5,0,0,16.5,482.5,6276,12736,16347.5,18114,4,15.5,0,3,19,19
1263,4646,25,42558,0,12,0,15,0,0,26,1359.5,8239,14106.5,17168.5,18473.5,38,25,0,3,11,11
1263,138151,5,1377.5,0,5,0,15,0,0,6,504,5686,12453.5,16453,18149,4.5,5,0,3,19,19
1263,23001,7.5,2679.5,0,7.5,0,15.5,0,0,8.5,585.5,6775.5,13264,16742,18247,5,7.5,0,4,2,2
1263,7466,6,2451.5,0,6,0,15.5,0,0,7,1125.5,7201.5,13102.5,16561,18283.5,5,6,0,4,1,1
5445,22983,5,1307.5,0,5,0,16,0,0,6,1024,6662.5,11963,16078.5,18192.5,2.5,5,0,2,20,20
22827,6093,19.5,61340.5,0,11,0,14.5,0,0,20.5,724.5,6272,11744,16099.5,18221,22.5,19.5,0,4,4,4
5894,23373,39,1296395,0,11,0,15,0,0,40,1523.5,7367.5,12959.5,16509.5,18380.5,132.5,39,0,2,174,176
65059,7297,5.5,2746,0,5.5,0,15.5,0,0,6.5,257.5,3739,10158,14318,17347,2,5.5,0,3,11,11
9904,3815,18.5,52714,0,11.5,0,15.5,0,0,19.5,598.5,6020,11631,15958.5,18110.5,38,18.5,0,2,133,137
1827,11255,3.5,17818,0,3,0.5,16.5,0,0,4.5,118,1913,6120.5,12064,15392,0,3.5,0,3,14,14
5966,10078,22,22641.5,0,13.5,0,14.5,0,0,23,712,6110,11819.5,16238,18423,70.5,22,0,2,41,41
85415,7297,5,2736.5,0,5,0.5,16,0,0,6,243,3252.5,8103,13515,16885.5,2,5,0,2,52,52
6018,7153,19,40672,0,11.5,0,15,0,0,20,1766.5,6922.5,13062.5,16838,18519,54.5,19,0,3,21,21
6093,1786,33,108560,0,13.5,0,15,0,0,34,1518,7391.5,13248,16647,18556.5,151,33,0,3,3,3
9475,1786,31.5,90202.5,0,13.5,0,15.5,0,0,32.5,1554.5,7635.5,13308,16657.5,18551,149.5,31.5,0,4,2,2
9475,57048,5,2923,0,4,0,16,0,0,6,561.5,4363,10932.5,15400,17814,1,5,0,3,2,2
6100,581,11.5,22986,0,7.5,0,15.5,0,0,12.5,606.5,4842.5,10782.5,15215.5,17640.5,13,11.5,0,4,1,1
6322,7297,8.5,3054.5,0,8.5,0,15.5,0,0,9.5,294,4532,10866,15564,17884.5,9,8.5,0,2,5,5
6382,5894,40.5,1309136.5,0,12,0,15.5,0,0,41.5,1585.5,7507.5,13033.5,16296,18206.5,132.5,40.5,0,4,3,3
