V1,V2
GFI1B,GINS4
GFI1B,GTF2H4
GFI1B,HBS1L
GFI1B,INTS5
GFI1B,LEO1
GFI1B,MED14
GFI1B,MED9
GFI1B,MINOS1
GFI1B,MRPL36
GFI1B,MTOR
GFI1B,NDUFA8
GFI1B,PAXBP1
GFI1B,PELO
GFI1B,REXO2
GFI1B,RPL10
GFI1B,RRM1
GFI1B,SNRPB
GFI1B,SNRPD3
GFI1B,TAF2
GFI1B,TIMELESS
GFI1B,TIPIN
GFI1B,YTHDC1
GFI1B,ZNF511
GINS4,MED14
GINS4,MED23
GINS4,METAP2
GINS4,MRPL13
GINS4,MRPS11
GINS4,NUP54
GINS4,PPP2R1A
GINS4,PTTG1
GINS4,RPL36A
GNL2,LEO1
GNL2,MPHOSPH6
GNL2,NDUFA9
GNL2,WDR61
GNL3L,CEP295
GNL3L,LARS
GNL3L,METTL17
GNL3L,NCAPD2
GNL3L,NOLC1
GNL3L,NUP43
GNL3L,NUP54
GNL3L,PAFAH1B1
GNL3L,PPP2R1A
GNL3L,RAE1
GNL3L,SKA3
GNL3L,SRSF7
GNL3L,VPS72
GNL3L,ZMAT5
GNL3L,ZNF830
GNL3L,ZNRD1
GOLT1B,LEO1
GOLT1B,NUDC
GOLT1B,NUP54
GOLT1B,PPP2R1A
GOLT1B,SEC22B
GOLT1B,USE1
GOLT1B,WDR61
GPN3,LEO1
GPN3,POLR3B
GPN3,VPS29
GPN3,WDR61
GTF2E1,KCTD10
GTF2E1,MED17
GTF2E1,NDUFB4
GTF2H1,RAD51
GTF2H1,VPS29
GTF2H4,HUS1
GTF2H4,KIF14
GTF2H4,LEO1
GTF2H4,MED14
GTF2H4,MED17
GTF2H4,MINOS1-NBL1
GTF2H4,MRPL27
GTF2H4,MRPS10
GTF2H4,MRPS21
GTF2H4,MZT1
GTF2H4,RBM17
GTF2H4,RNGTT
GTF2H4,RPLP2
GTF2H4,SCO1
GTF2H4,SFXN1
GTF2H4,SNAPC1
GTF2H4,TCOF1
GTF2H4,WDR70
GTF3C3,INTS5
GTF3C3,POLR3B
GTPBP4,RPP30
GTPBP4,XRN2
HBS1L,INTS5
HBS1L,PSMD1
HBS1L,WDR61
HSCB,LIAS
HUS1,LEO1
HUS1,MCM4
HUS1,METAP2
HUS1,MRPL11
HUS1,MRPL22
HUS1,NFYC
HUS1,NUDC
HUS1,NUP54
HUS1,POLA1
HUS1,POLD1
HUS1,POLD3
HUS1,POLE
HUS1,POLE2
HUS1,PPP2R1A
HUS1,PRIM2
HUS1,PTTG1
HUS1,RAD51
HUS1,RFC4
HUS1,RFC5
HUS1,RPA3
HUS1,RRM1
HUS1,RTF1
HUS1,SDHC
HUS1,SGOL1
HUS1,TIMELESS
HUS1,TIPIN
HUS1,TRA2B
HUS1,UBA2
HUS1,UMPS
HUS1,WDR61
HUS1,WDR7
HUS1,ZNF574
HYPK,MFAP1
HYPK,PTTG1
IARS,LEO1
