V1,V2
RPA3,TAF2
RPA3,TRA2B
RPA3,UBA2
RPL10,RPL35
RPL10,RRM1
RPL10,SDHC
RPL10,SNAPC1
RPL11,SNAPC1
RPL11,UBA2
RPL11,ZNHIT6
RPL13,RPL23
RPL13,RPS18
RPL23,RPL35
RPL24,SNAPC1
RPL28,TAF2
RPL3,SNAPC1
RPL30,SNAPC1
RPL30,TUBB
RPL32,RPL35
RPL32,SNAPC1
RPL35,RPS28
RPL35,RRM1
RPL35,SF3B1
RPL35,SNRNP70
RPL35,SRSF7
RPL35,TBCB
RPL35,TOMM22
RPL35,TUBGCP4
RPL35,WDR36
RPL35,XPO1
RPL35,ZNF511
RPL5,SNAPC1
RPL8,UBA2
RPLP2,USE1
RPP38,SNAPC1
RPS27A,SNAPC1
RPSA,SNAPC1
RPTOR,XRN2
RTF1,SNIP1
RTF1,UBA2
SCYL1,SEC22B
SCYL1,SRSF7
SDHC,SNAPC1
SDHC,TMEM261
SEH1L,UBA2
SGOL1,SNRPG
SKIV2L,SNAPC1
SKIV2L,UBA2
SLC39A9,SNRPD3
SNAPC1,SNIP1
SNAPC1,SNRPB
SNAPC1,TAF1
SNAPC1,TTC4
SNAPC1,TUBGCP3
SNAPC1,USE1
SNAPC1,WDR36
SNAPC1,ZMAT5
SNAPC1,ZNHIT6
SNRPD3,TTI2
SNRPD3,UBA2
SNRPD3,XPO1
SNRPD3,XRN2
SNRPD3,YTHDC1
SNRPG,ZNHIT6
SPAG7,UBA2
SPDL1,XPO1
SPDL1,ZWINT
SRSF7,VPS4A
TAF1,YTHDC1
TAF2,WDR7
TAF2,YTHDC1
TAF2,ZNHIT6
TAF2,ZNRD1
TBC1D31,ZNHIT6
TBCB,UBA2
TBCB,YTHDC1
TBCB,ZNF830
TCOF1,TUBGCP4
TFB1M,XRN2
TMEM261,UQCRB
TOMM22,USE1
TRA2B,ZNF574
TRRAP,WDR61
TTI2,UBA2
TUBB,ZNHIT6
TUBGCP5,UBA2
UBA2,WDR70
UBA2,YTHDC1
UBA2,ZNF511
UBA2,ZNHIT6
USE1,VPS72
XPO1,ZNF830
ZCCHC9,ZNF574
ZNF598,ZNF830
GEMIN5,KMT2A
MED7,THOC2
MCM2,WDR82
MED17,SRCAP
SMARCD2,THAP3
CNOT3,MED7
BRD9,MED8
ELP3,MED7
MCM2,PAF1
GEMIN5,RBBP4
CHD4,INTS9
MED12,MED14
ACTR8,SRCAP
MED8,PAF1
IKBKAP,RTF1
CHD4,THOC1
KDM1A,TRRAP
CENPA,THOC2
IKBKAP,MED8
EED,GEMIN5
DPY30,PCGF1
MCM2,TRRAP
INTS9,PAF1
GEMIN5,PCGF1
HCFC1,IKBKAP
ACTL6A,MRGBP
BRD9,TRRAP
ELP3,SUZ12
CNOT3,INTS9
GEMIN5,MTA1
CHD4,MED15
MCM2,RUVBL1
MED12,MED15
MED8,MRGBP
CENPA,RTF1
CNOT3,THOC2
KAT5,SRCAP
ACTL6A,MCM2
RTF1,TRRAP
HCFC1,SUZ12
CHD4,GEMIN5
RUVBL1,SETD1A
INO80E,MCM2
ACTL6A,THOC1
CXXC1,KMT2D
HCFC1,INO80C
IKBKAP,MED15
INO80C,MED7
CENPA,TRRAP
GEMIN5,RTF1
PAF1,RTF1
MED15,RUVBL1
CBX2,CENPA
ACTL6A,INTS9
GEMIN5,PAF1
MED15,RBBP4
MED15,THOC1
MCM2,THOC1
CHD4,MCM2
ELP3,PAF1
ELP3,MED15
INTS9,RTF1
CNOT3,ELP3
MCM2,RTF1
BRD9,GEMIN5
RTF1,THOC1
ACTL6A,MED7
ELP3,MCM2
INTS9,MED8
MCM2,MED15
ACTR8,EED
CHD4,CXXC1
INO80E,MED8
ACTL6A,BRD9
CBX2,RTF1
ACTL6A,MED8
ACTL6A,MED14
KMT2A,RUVBL1
